room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
6463009,29406079.0,Entire home/apt,Manhattan,Upper West Side,6,4.5,4.0,4.0,249.0,1.0,40.80148,-73.963063,2016-01-24 05:49:35.578350
16326,63588.0,Entire home/apt,Brooklyn,Prospect Heights,83,5.0,,4.0,349.0,5.0,40.678105,-73.96428399999998,2016-01-24 05:15:35.976369
1110607,6096411.0,Entire home/apt,Brooklyn,Boerum Hill,0,,,4.0,800.0,5.0,40.684505,-73.985691,2016-01-24 04:27:46.257013
7987209,42154621.0,Entire home/apt,Manhattan,Theater District,7,5.0,,4.0,1095.0,5.0,40.756597,-73.98329,2016-01-24 03:27:37.244427
4357892,22727798.0,Entire home/apt,Queens,Bay Terrace,4,4.5,,4.0,154.0,2.0,40.777745,-73.78375600000003,2016-01-24 04:40:13.734634
250801,1314834.0,Entire home/apt,Manhattan,Greenwich Village,69,5.0,,4.0,850.0,2.0,40.731293,-73.99944,2016-01-24 02:41:37.435527
9561902,11604398.0,Entire home/apt,Manhattan,Theater District,2,5.0,,4.0,695.0,1.0,40.75825800000001,-73.981688,2016-01-24 03:39:27.780479
9597629,24951732.0,Entire home/apt,Brooklyn,South Slope,0,,,4.0,375.0,1.0,40.665187,-73.982637,2016-01-24 00:51:10.617459
1074564,5911817.0,Entire home/apt,Manhattan,Chelsea,11,4.5,,4.0,200.0,2.0,40.746628,-73.995424,2016-01-24 02:06:49.229804
9935895,16068447.0,Entire home/apt,Manhattan,East Village,0,,5.0,4.0,400.0,1.0,40.72619,-73.990882,2016-01-24 01:44:43.937692
9887048,7332398.0,Entire home/apt,Brooklyn,Williamsburg,0,,,4.0,600.0,4.0,40.710812,-73.95094499999998,2016-01-24 01:17:17.542807
606623,3005234.0,Entire home/apt,Brooklyn,Crown Heights,0,,,4.0,1100.0,1.0,40.66759,-73.931317,2016-01-23 23:59:57.675782
5432089,23334165.0,Entire home/apt,Manhattan,Harlem,3,4.0,,4.0,400.0,,40.822493,-73.944788,2016-01-23 23:58:44.226755
8651756,4204562.0,Entire home/apt,Manhattan,Upper East Side,0,,,4.0,831.0,30.0,40.77868400000001,-73.955961,2016-01-23 23:26:39.417453
9588888,13322263.0,Entire home/apt,Manhattan,Hell's Kitchen,0,,,4.0,800.0,3.0,40.756266,-73.996905,2016-01-23 21:36:44.030397
24285,97797.0,Entire home/apt,Brooklyn,Park Slope,44,5.0,,4.0,220.0,2.0,40.669408,-73.981091,2016-01-23 21:28:09.099560
2752977,14081811.0,Entire home/apt,Brooklyn,Carroll Gardens,7,5.0,,4.0,350.0,4.0,40.680092,-74.000085,2016-01-23 22:55:05.971648
9734060,50225844.0,Entire home/apt,Manhattan,East Village,1,5.0,,4.0,425.0,1.0,40.731265,-73.990935,2016-01-23 22:20:37.627554
4901424,25230336.0,Entire home/apt,Brooklyn,Clinton Hill,0,,,4.0,300.0,3.0,40.683824,-73.962918,2016-01-23 21:57:01.951088
