room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
6501082,33977623.0,Entire home/apt,Brooklyn,Williamsburg,4,5.0,6.0,3.0,450.0,5.0,40.71238,-73.964512,2016-08-24 05:50:16.603630
4847648,157051.0,Entire home/apt,Brooklyn,Williamsburg,5,4.0,6.0,3.0,240.0,2.0,40.714109,-73.949502,2016-08-24 05:29:48.469512
10967386,1521486.0,Entire home/apt,Brooklyn,Williamsburg,3,4.5,6.0,3.0,250.0,1.0,40.710786,-73.95152399999998,2016-08-24 10:59:59.196929
13358438,640117.0,Entire home/apt,Brooklyn,Williamsburg,0,,6.0,3.0,380.0,3.0,40.713487,-73.955575,2016-08-24 10:23:41.281808
13623257,56260714.0,Entire home/apt,Brooklyn,Williamsburg,1,,7.0,3.0,300.0,1.0,40.714476,-73.951892,2016-08-24 09:14:01.729018
9833953,45911716.0,Entire home/apt,Manhattan,East Village,1,,10.0,3.0,325.0,3.0,40.728044,-73.976375,2016-08-24 03:24:13.421292
4996877,317718.0,Entire home/apt,Brooklyn,Greenpoint,0,,6.0,3.0,380.0,2.0,40.725136,-73.95392199999998,2016-08-24 07:57:40.829746
13681882,21323658.0,Entire home/apt,Brooklyn,Williamsburg,3,5.0,10.0,3.0,700.0,1.0,40.718984000000006,-73.957961,2016-08-24 10:38:28.660180
12150071,15105524.0,Entire home/apt,Brooklyn,Williamsburg,4,5.0,6.0,3.0,300.0,3.0,40.720081,-73.944405,2016-08-24 09:41:19.886180
1045897,839679.0,Entire home/apt,Brooklyn,Williamsburg,85,4.5,5.0,3.0,195.0,1.0,40.717966,-73.955076,2016-08-24 07:56:07.887425
14665418,22935573.0,Entire home/apt,Brooklyn,Williamsburg,0,,6.0,3.0,295.0,2.0,40.714334,-73.958569,2016-08-24 15:03:47.634573
4579642,3985291.0,Entire home/apt,Brooklyn,Williamsburg,2,,5.0,3.0,450.0,5.0,40.716823,-73.957636,2016-08-24 10:07:59.406924
6450408,640117.0,Entire home/apt,Brooklyn,Williamsburg,10,4.5,8.0,3.0,380.0,3.0,40.714079,-73.957077,2016-08-24 14:59:20.170604
10525911,41177070.0,Entire home/apt,Brooklyn,Williamsburg,9,5.0,5.0,3.0,275.0,3.0,40.714668,-73.94414499999998,2016-08-24 16:06:57.635446
8622803,45356541.0,Entire home/apt,Brooklyn,Williamsburg,0,,6.0,3.0,299.0,1.0,40.712716,-73.946028,2016-08-24 05:32:45.815648
6895270,5159449.0,Entire home/apt,Brooklyn,Greenpoint,1,,6.0,3.0,209.0,14.0,40.726026,-73.95487800000002,2016-08-24 16:34:49.147585
1225110,2888900.0,Entire home/apt,Brooklyn,Greenpoint,4,4.5,4.0,3.0,350.0,7.0,40.729923,-73.956284,2016-08-24 04:33:41.410662
2296312,11728509.0,Entire home/apt,Brooklyn,Greenpoint,0,,4.0,3.0,750.0,1.0,40.728343,-73.950156,2016-08-24 06:42:38.914432
710283,283215.0,Entire home/apt,Brooklyn,Greenpoint,32,5.0,8.0,3.0,300.0,2.0,40.725819,-73.952129,2016-08-24 03:57:54.312809
9393134,32812120.0,Entire home/apt,Brooklyn,Williamsburg,1,,8.0,3.0,225.0,3.0,40.719605,-73.959558,2016-08-24 08:39:31.125889
13707496,31945194.0,Entire home/apt,Brooklyn,Williamsburg,5,5.0,12.0,3.0,350.0,2.0,40.720017,-73.959518,2016-08-24 04:49:36.947440
26969,115307.0,Entire home/apt,Brooklyn,Williamsburg,205,5.0,6.0,3.0,295.0,2.0,40.718898,-73.95769200000002,2016-08-24 09:39:33.708512
8814936,4185064.0,Entire home/apt,Brooklyn,Williamsburg,68,4.5,8.0,3.0,275.0,,40.71554,-73.962458,2016-08-24 07:41:46.972810
769448,4059034.0,Entire home/apt,Brooklyn,Williamsburg,132,4.5,6.0,3.0,349.0,2.0,40.717904,-73.961072,2016-08-24 06:26:51.752315
13097901,4462261.0,Entire home/apt,Brooklyn,Williamsburg,5,5.0,5.0,3.0,208.0,1.0,40.70577,-73.931075,2016-08-24 07:45:43.239380
5880554,30537641.0,Entire home/apt,Brooklyn,Williamsburg,66,4.5,6.0,3.0,300.0,2.0,40.711507,-73.952781,2016-08-24 13:56:47.905306
2231814,112879.0,Entire home/apt,Brooklyn,Williamsburg,0,,9.0,3.0,1200.0,1.0,40.70949,-73.942214,2016-08-24 13:46:53.982466
2082694,10638711.0,Entire home/apt,Brooklyn,Williamsburg,1,,7.0,3.0,700.0,3.0,40.709577,-73.942875,2016-08-24 11:08:57.901890
6973502,9979449.0,Entire home/apt,Brooklyn,Greenpoint,1,,6.0,3.0,156.0,1.0,40.724582,-73.94000799999998,2016-08-24 13:49:50.120095
862233,4462261.0,Entire home/apt,Brooklyn,Williamsburg,44,4.0,4.0,3.0,220.0,3.0,40.705254,-73.93095,2016-08-24 08:08:02.326996
2722983,8489537.0,Entire home/apt,Brooklyn,Williamsburg,37,4.5,7.0,3.0,250.0,2.0,40.704045,-73.934962,2016-08-24 09:53:28.840657
11621388,61326963.0,Entire home/apt,Brooklyn,Bushwick,18,4.5,8.0,3.0,150.0,1.0,40.703666,-73.92143,2016-08-24 14:33:46.004559
12618357,1397445.0,Entire home/apt,Queens,Ridgewood,9,5.0,7.0,3.0,175.0,1.0,40.709572,-73.90912800000002,2016-08-24 16:26:05.375805
